acquiror,date,url
/organization/1-800-flowers-com,Sep 2, 2014,/organization/harry-and-david
/organization/activision,Jan 4, 2016,/organization/major-league-gaming
Nov 2, 2015,/organization/king
Apr 6, 2009,/organization/california-7-studios
Nov 10, 2008,/organization/budcat-creations
Mar 6, 2007,/organization/demonware
/organization/adobe-systems,Nov 5, 2015,/organization/digital-analytix
Jun 1, 2015,/organization/mixamo
Dec 11, 2014,/organization/fotolia
Sep 22, 2014,/organization/aviary
Jun 27, 2013,/organization/neolane
May 28, 2013,/organization/ideacodes
May 22, 2013,/organization/thumb-labs
Dec 20, 2012,/organization/behance
Nov 30, 2011,/organization/efficient-frontier
Nov 1, 2011,/organization/auditude
Oct 3, 2011,/organization/nitobi-software
Oct 3, 2011,/organization/typekit
Sep 7, 2011,/organization/iridas
Jul 18, 2011,/organization/echosign
Jan 18, 2011,/organization/demdex
Jul 28, 2010,/organization/day-software
Sep 15, 2009,/organization/omniture
Aug 31, 2009,/organization/goodbarry
Sep 15, 2008,/organization/yawah
Sep 30, 2007,/organization/virtual-ubiquity
May 3, 2007,/organization/sence7
Dec 13, 2006,/organization/antepo
Oct 20, 2006,/organization/serious-magic
Sep 5, 2006,/organization/interakt
Jun 26, 2006,/organization/pixmantec
Apr 21, 2006,/organization/trade-and-technologies-france
2006,/organization/amicima
Dec 16, 2005,/organization/navisware
Dec 3, 2005,/organization/macromedia
Dec 7, 2004,/organization/okyz
May 7, 2004,/organization/q-link-technologies
Apr 15, 2002,/organization/accelio-corporation
Dec 5, 2001,/organization/fotiva
Jan 4, 1999,/organization/golive-systems
Sep 16, 1997,/organization/digidox
Sep 5, 1997,/organization/hyway-ferranti
Mar 14, 1997,/organization/sandcastle
May 20, 1996,/organization/ares-software
Oct 30, 1995,/organization/frame-technology
1995,/organization/photoshop
Aug 31, 1994,/organization/aldus-corp
Jun 29, 1992,/organization/ocr-systems
Jun 20, 1990,/organization/bluepoint-technologies
Mar 19, 1990,/organization/emerald-city-software
/organization/akamai-technologies,Nov 2, 2015,/organization/bloxx
Apr 6, 2015,/organization/octoshape
Mar 2, 2015,/organization/xerocole-inc
Feb 18, 2014,/organization/prolexic
Nov 13, 2012,/organization/verivue
Sep 13, 2012,/organization/fastsoft
Feb 8, 2012,/organization/blaze-io
Nov 27, 2011,/organization/cotendo
Jun 10, 2010,/organization/velocitude
Oct 21, 2008,/organization/acerno
Apr 12, 2007,/organization/red-swoosh
Feb, 2007,/organization/netli
Jun, 2005,/organization/speedera-networks
/organization/alarm-com,May 10, 2013,/organization/energyhub
/organization/altera,May 14, 2013,/organization/enpirion
Apr, 2013,/organization/tpack
/organization/amazon,Feb 16, 2016,/organization/emvantage-payments
Feb 11, 2016,/organization/nice-3
Sep 25, 2015,/organization/safaba-translation-solutions
Sep 3, 2015,/organization/elemental-technologies
Apr 30, 2015,/organization/clusterk
Apr 10, 2015,/organization/shoefitr
Apr 10, 2015,/organization/amiato
Mar 12, 2015,/organization/2lemetry
Jan 22, 2015,/organization/annapurna-labs
Oct 27, 2014,/organization/rooftopcomedy
Aug 25, 2014,/organization/twitch
Apr 10, 2014,/organization/comixology
Feb 6, 2014,/organization/double-helix-games
Dec 16, 2013,/organization/gopago
Oct 1, 2013,/organization/tenmarks-education
May 13, 2013,/organization/liquavista
May 13, 2013,/organization/screentech
Apr 17, 2013,/organization/evi
Mar 29, 2013,/organization/goodreads
Jan 24, 2013,/organization/ivona-text-to-speech
Jul 2, 2012,/organization/upnext
Jun 15, 2012,/organization/lovefilm
Mar 19, 2012,/organization/kiva-systems
Jan 31, 2012,/organization/teachstreet
Dec 28, 2011,/organization/quorus
Sep 8, 2011,/organization/yap
Jul 28, 2011,/organization/pushbutton
Jul 4, 2011,/organization/the-book-depository
Nov 8, 2010,/organization/quidsi
Oct 7, 2010,/organization/buyvip
Sep 22, 2010,/organization/amiestreet
Jun 30, 2010,/organization/woot
Feb 3, 2010,/organization/touchco
Jul 22, 2009,/organization/zappos
Jun 16, 2009,/organization/snaptell
Apr, 2009,/organization/lexcycle
Oct 22, 2008,/organization/reflexive-entertainment
Aug 25, 2008,/organization/shelfari
Aug 1, 2008,/organization/abebooks
Jun 25, 2008,/organization/fabric-com
Jan 31, 2008,/organization/audible
Jan 18, 2008,/organization/without-a-box
May 23, 2007,/organization/brilliance-audio
May 1, 2007,/organization/dpreview
Feb 27, 2006,/organization/shopbop
2006,/organization/textpayme
Jul 8, 2005,/organization/customflix
Apr 21, 2005,/organization/mobipocket-com
Apr 4, 2005,/organization/booksurge
2003,/organization/cdnow
Dec 1, 2001,/organization/ourhouse-com
Jun 11, 1999,/organization/accept-com
May 23, 1999,/organization/alexa
Apr 26, 1999,/organization/exchange-com
Apr 12, 1999,/organization/livebid
Oct 15, 1998,/organization/bookpages
Aug 4, 1998,/organization/junglee
1998,/organization/imdb
/organization/analog-devices,Jun 9, 2014,/organization/hittite-microwave
Mar 30, 2012,/organization/multigig
/organization/anoto-group,Nov 6, 2015,/organization/livescribe
/organization/applied-materials,May 4, 2011,/organization/varian-semiconductor-equipment-associates
Nov 6, 2009,/organization/advent-solar
/organization/arrow-electronics,Aug 27, 2013,/organization/computerlinks
May 2, 2011,/organization/cross-telecom
Jan 3, 2011,/organization/nu-horizons-electronics
Dec 16, 2010,/organization/intechra-holdings
Dec 6, 2010,/organization/diasa-informtica
2010,/organization/verical
/organization/apple,Feb 3, 2016,/organization/legbacore
Jan 29, 2016,/organization/flyby-media
Jan 28, 2016,/organization/learnsprout
Jan 7, 2016,/organization/emotient
Nov 24, 2015,/organization/faceshift
Oct 5, 2015,/organization/perceptio
Oct 2, 2015,/organization/vocaliq
Sep 15, 2015,/organization/mapsense
Jun 26, 2015,/organization/privaris
May 28, 2015,/organization/metaio
May 18, 2015,/organization/coherent-navigation
Apr 14, 2015,/organization/linximaging
Apr 8, 2015,/organization/dryft
Apr 7, 2015,/organization/ottocat
Mar 24, 2015,/organization/foundationdb
Feb 24, 2015,/organization/camel-audio
Jan 21, 2015,/organization/semetric
